区域名称,区域图标,所属大陆,区域描述,区域难度,是否解锁,是否征服,征服需要总星级,解锁星级,首都
巢穴附近,🏰,古拉尔大陆,边缘丘陵地带，原流放者村落已荒废，破败农田与废弃房屋散布其间，森林中遍布哥布林瞭望哨与陷阱,1,true,false,15,0,
流放者之地,🏚️,古拉尔大陆,大陆腹地荒原，各类罪犯与失意者求生之地，数十个据点散布恶劣地形，弱肉强食法则主导一切,2,true,false,20,0,
翡翠王国,💎,古拉尔大陆,艾莉西亚女王统治的绿洲谷地，翡翠宫殿璀璨夺目，高墙与魔法结界守护多元文化社会,3,false,false,25,30,翡翠宫
卡拉森林,🌲,古拉尔大陆,永恒精灵前哨，运用生命魔法改造的郁葱森林，银白建筑与古树融合，魔法哨所构成天然防御,5,false,false,40,50,卡拉村
鲜血港湾,⚓,瓦尔基里大陆,南部军事港口群，巨大峡湾停靠破冰战舰与奴隶运输船，奴隶贩子与佣兵云集的非法交易中心,2,false,false,30,0,血港
奴役环带,⛓️,瓦尔基里大陆,环绕黑暗巢都的广阔营地，数百奴隶营按种族用途分布冰原，采矿锻造农耕各司其职,3,false,false,35,40,
黑暗巢都,🏔️,瓦尔基里大陆,暗影密会权力核心，数座千米黑塔环形排列，暗影塔水晶球监控全大陆，防御城墙固若金汤,4,false,false,45,60,暗影塔
幻月群岛,🌙,香草群岛,月牙形主岛群，月圆之夜浅海映射银色光桥，幻术结界下九层神社塔散发银辉,3,false,false,40,0,幻月城
红枫群岛,🍁,香草群岛,商业核心区域，秋季漫山红叶如火，深水湾港口承载大型海船，香料芬芳弥漫贸易市场,4,false,false,45,50,红枫港
九尾神祭坛,⛩️,香草群岛,神圣中心大岛，九芒星巨石祭坛与狐型石雕，每年新年狐族聚集举行盛大祭祖仪式,5,false,false,50,70,
卡斯提亚领,🛡️,赛菲亚大陆,边境自治领军事防线，坚固要塞城市沿线分布，既抵御入侵也是对外贸易门户,4,false,false,50,0,卡斯提亚堡
诸侯封地,🏛️,赛菲亚大陆,贵族传统领地遍布腹地，公爵伯爵各享自治权，联姻同盟争执交织的古老封建体系,5,false,false,60,60,
星辉矿区,⚒️,赛菲亚大陆,中央山脉工业重镇，露天矿场与深井星罗棋布，维拉诺瓦城熔炉火光昼夜不熄,5,false,false,65,70,维拉诺瓦城
奥雷利安皇都圈,👑,赛菲亚大陆,帝国首都核心统治区，黄金圆顶皇宫俯瞰同心圆都市，大理石宫殿与卫星城镇构成庞大中心,6,false,false,70,90,奥雷利安皇都
树影村落,🌿,世界树圣域,外围巡逻营地与小型村落，守卫结界防御入侵，景色优美平静祥和的第一道防线,4,false,false,70,0,
根须圣殿,⛪,世界树圣域,世界树根部神圣殿群，根须天然形成拱顶，金色生命之泉流淌其间，永恒精灵最神圣宗教场所,5,false,false,80,60,
碧树螺旋,🌀,世界树圣域,主干内部螺旋巨城，房屋镶嵌树洞，翡翠藤蔓与发光植物照明，生物发光的活体城市,6,false,false,90,70,
月冠,☁️,世界树圣域,最高层天空宫殿群，水晶般透明建筑悬浮云端，精灵议会圆厅俯瞰中央大陆，神域彩虹,7,false,false,100,90,月冠殿
