图片ID,种族,职业,提示词
1,人类,法师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, tiara, rainbow eyes, petite build, small breasts, violet color scheme, seductive stargazer robes, cosmic patterns, constellation staff, astral grimoire, celestial jewelry, sheer night-sky cloak, silver threads, moon pendant, star earrings, divination tools, alluring astral ornaments, telescope accessory, mysterious, reading, stellar tower, starlight, mystical, violet color scheme, looking_away, full_shot, from_side, rule of thirds,"
2,人类,医师,"human girl, blonde hair, short hair, hime cut, swept bangs, tiara, heart-shaped eyes, petite build, small breasts, healing green scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, focused, standing, sacred garden, soft light, peaceful, healing green scheme, looking_afar, panorama, cinematic_angle, rule of thirds,"
3,人类,吟游诗人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, centre parting bangs, feather accent, heart-shaped eyes, petite build, small breasts, colorful scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, cheerful, dancing, village, sunlight, lively, colorful scheme, looking_afar, cowboy_shot, dynamic_angle, elegant composition,"
4,人类,骑士,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, long bangs, jeweled hairpin, purple eyes, petite build, small breasts, white-gold color scheme, seductive paladin set, polished mail, greatsword, reliquary, heraldic cape, white gloves, sash, brooch, circlet, prayer book, alluring holy ornaments, blessed pendant, serious, standing, starlit plains, divine light, divine, white-gold color scheme, stare, panorama, dutch angle, elegant composition,"
5,人类,牧师,"human girl, blonde hair, short hair, forehead, braid detail, pink eyes, petite build, small breasts, holy white scheme, divine ceremonial set, sheer luminous robe, golden embroidery, sacred bible, prayer book, beaded rosary, ribboned waist chain, veil fascinator, signet ring, halo accessory, alluring sanctified ornaments, holy water vessel, calm, blessing, lunar temple, moonlight, divine, holy white scheme, looking_to_the_side, portrait, from_below, rule of thirds,"
6,人类,女王,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, centre parting bangs, braid detail, red eyes, petite build, small breasts, white-gold color scheme, alluring sovereign attire, golden circlet, ceremonial rod, revealing brocade robe, royal insignia, sheer silk lining, jeweled clasp, formal gloves, royal choker, court ornaments, provocative majestic accessories, throne cushion, majestic, commanding pose, royal gardens, sunlight, luxurious, white-gold color scheme, looking_up, wide_shot, from_below, aerial,"
7,人类,公主,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hair between eyes, crossed bangs, ahoge, green eyes, petite build, small breasts, fairy tale scheme, seductive garden dress, floral tiara, sheer pastel gown, ribbon waist chain, embroidered flowers, pearl choker, lace gloves, hair ribbons, delicate jewelry, garden accessories, provocative youthful ornaments, rose bouquet, elegant, sitting elegantly, castle, sunlight, dreamy, fairy tale scheme, eyeball, wide_shot, from_below, elegant composition,"
8,人类,王后,"human girl, blonde hair, short hair, disheveled hair, crossed bangs, delicate hair ornament, pink eyes, petite build, small breasts, deep crimson scheme, provocative court regalia, jeweled diadem, revealing state robe, slit formal gown, silver threading, royal brooch, ceremonial bracers, court gloves, pendant choker, palace jewelry, alluring dignified accessories, scepter ornament, elegant, sitting regally, court hall, royal lighting, dignified, deep crimson scheme, looking_down, cowboy_shot, from_below, elegant composition,"
9,人类,战士,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, crossed bangs, ribbon, pink eyes, petite build, small breasts, battle-worn scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, fierce, standing, battlefield, sunlight, intense, battle-worn scheme, looking_up, medium_shot, from_above, aerial,"
10,人类,学者,"human girl, blonde hair, short hair, bob cut, crossed bangs, flower accessory, heart-shaped eyes, petite build, small breasts, blue-gold color scheme, alchemical scholar attire, laboratory coat, experimental apparatus, chemical formulas, transmutation circles, element samples, catalyst vials, safety goggles, measuring tools, formula notes, mystical compounds, philosopher's research, focused, standing, library, candlelight, peaceful, blue-gold color scheme, head_down, portrait, foreshortening, rule of thirds,"
11,人类,商人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, straight hair, blunt bangs, tiara, brown eyes, petite build, small breasts, gold-brown color scheme, jeweler outfit, luxurious display cloak, precious gems, appraisal tools, magnifying loupe, gemstone catalog, artisan accessories, fine metal work, certification documents, collector's items, masterwork jewelry, authenticity seals, smiling, daily life pose, trading post, warm light, peaceful, gold-brown color scheme, gradient, panorama, foreshortening, rule of thirds,"
12,人类,盗贼,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, air bangs, ahoge, purple eyes, petite build, small breasts, dark color scheme, treasure hunter gear, adventure outfit, treasure maps, ancient puzzle tools, trap detection devices, excavation equipment, relic containers, expedition accessories, discovery journals, fortune seeker ornaments, archaeological tools, mystery solver kit, sly, crouching, dark forest, moonlight, mysterious, dark color scheme, looking_down, upper_body, foreshortening, aerial,"
13,人类,教师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, centre parting bangs, silk bow, red eyes, petite build, small breasts, academy blue color scheme, magical instructor outfit, enchanted teaching robes, spell demonstration wand, talent assessment crystals, magic training tools, mana control devices, arcane lesson scrolls, mystical teaching aids, power development accessories, magical education badges, potential awakening gems, spell practice orbs, gentle, standing, village, study light, educational, academy blue color scheme, looking_outside, full_shot, front view, turn_one's_back,"
14,人类,女仆,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, air bangs, feather accent, brown eyes, petite build, small breasts, white-black color scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, smiling, serving pose, village, indoor light, peaceful, white-black color scheme, head_tilt, portrait, dutch angle, rule of thirds,"
