name,avatar,race,country,unitType,level,attack,defense,intelligence,speed,health,canLeadRaces
普通衍生物,🟢,衍生物,衍生物巢穴,physical,3,2,4,2,2,7,衍生物
衍生物战士,⚔️,衍生物,衍生物巢穴,physical,6,8,6,2,5,20,衍生物
衍生物圣骑士,✨,衍生物,衍生物巢穴,physical,9,10,8,5,6,25,衍生物
衍生物萨满,🔮,衍生物,衍生物巢穴,magical,8,3,4,12,5,18,衍生物
黑暗精灵战士,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵战士_00001_.png,黑暗精灵,暗影密会,physical,3,5,3,2,4,7,黑暗精灵
黑暗精灵奴隶,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵奴隶_00001_.png,黑暗精灵,暗影密会,physical,1,2,1,1,1,4,黑暗精灵
黑暗精灵祭司,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵祭司_00001_.png,黑暗精灵,暗影密会,magical,6,3,3,6,2,7,黑暗精灵
黑暗精灵弓箭手,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵弓箭手_00001_.png,黑暗精灵,暗影密会,physical,2,5,2,3,6,5,黑暗精灵
黑暗精灵法师,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵法师_00001_.png,黑暗精灵,暗影密会,magical,5,2,2,7,3,5,黑暗精灵
黑暗精灵刺客,https://kitakamis.online/uiit_portaits/黑暗精灵_黑暗精灵刺客_00001_.png,黑暗精灵,暗影密会,physical,5,7,1,3,6,4,黑暗精灵
狐族巫女,https://kitakamis.online/uiit_portaits/狐族_狐族巫女_00001_.png,狐族,九尾神社,magical,6,2,4,6,3,8,狐族
狐族守卫,https://kitakamis.online/uiit_portaits/狐族_狐族守卫_00001_.png,狐族,九尾神社,physical,2,3,4,2,3,6,狐族
狐族商人,https://kitakamis.online/uiit_portaits/狐族_狐族商人_00001_.png,狐族,红叶商盟,physical,1,3,3,5,4,6,狐族
狐族航海家,https://kitakamis.online/uiit_portaits/狐族_狐族航海家_00001_.png,狐族,红叶商盟,physical,6,4,3,6,5,8,狐族
狐族弓箭手,https://kitakamis.online/uiit_portaits/狐族_狐族弓箭手_00001_.png,狐族,九尾神社,physical,3,4,2,3,5,6,狐族
狐族法师,https://kitakamis.online/uiit_portaits/狐族_狐族法师_00001_.png,狐族,九尾神社,magical,5,1,2,7,3,5,狐族
狐族村民,https://kitakamis.online/uiit_portaits/狐族_狐族村民_00001_.png,狐族,九尾神社,physical,1,1,1,1,2,3,狐族
恶魔战士,https://kitakamis.online/uiit_portaits/魔族_恶魔战士_00001_.png,魔族,地狱,physical,4,8,6,4,5,16,魔族
恶魔领主,https://kitakamis.online/uiit_portaits/魔族_恶魔领主_00001_.png,魔族,地狱,physical,10,10,8,8,7,25,魔族
人类守卫,https://kitakamis.online/uiit_portaits/人类_人类守卫_00001_.png,人类,王国,physical,2,3,5,1,2,8,人类
人类士兵,https://kitakamis.online/uiit_portaits/人类_人类士兵_00001_.png,人类,王国,physical,3,5,3,1,3,10,人类
人类圣骑士,https://kitakamis.online/uiit_portaits/人类_人类圣骑士_00001_.png,人类,圣殿,physical,8,8,7,4,4,16,人类
人类商人,https://kitakamis.online/uiit_portaits/人类_人类商人_00001_.png,人类,王国,physical,1,1,1,2,2,3,人类
人类骑士,https://kitakamis.online/uiit_portaits/人类_人类骑士_00001_.png,人类,王国,physical,7,6,5,2,3,12,人类
人类农民,https://kitakamis.online/uiit_portaits/人类_人类农民_00001_.png,人类,王国,physical,1,1,1,0,1,3,人类
人类牧师,https://kitakamis.online/uiit_portaits/人类_人类牧师_00001_.png,人类,圣殿,magical,6,2,3,4,1,6,人类
人类民兵,https://kitakamis.online/uiit_portaits/人类_人类民兵_00001_.png,人类,王国,physical,1,2,2,1,1,4,人类
人类弓箭手,https://kitakamis.online/uiit_portaits/人类_人类弓箭手_00001_.png,人类,王国,physical,2,4,2,2,4,6,人类
人类法师,https://kitakamis.online/uiit_portaits/人类_人类法师_00001_.png,人类,魔法学院,magical,5,1,2,6,2,4,人类
天使祭司,https://kitakamis.online/uiit_portaits/天使_天使祭司_00001_.png,天使,天界,magical,7,4,4,12,5,15,天使
守护天使,https://kitakamis.online/uiit_portaits/天使_守护天使_00001_.png,天使,天界,physical,8,6,8,6,6,18,天使
战斗天使,https://kitakamis.online/uiit_portaits/天使_战斗天使_00001_.png,天使,天界,physical,6,7,5,3,7,14,天使
炽天使,https://kitakamis.online/uiit_portaits/天使_炽天使_00001_.png,天使,天界,physical,9,8,6,10,8,20,天使
骷髅战士,https://kitakamis.online/uiit_portaits/亡灵_骷髅战士_00001_.png,亡灵,死亡领域,physical,4,10,6,2,5,18,亡灵
骷髅仆从,https://kitakamis.online/uiit_portaits/亡灵_骷髅仆从_00001_.png,亡灵,死亡领域,physical,2,3,2,0,2,6,亡灵
骷髅法师,https://kitakamis.online/uiit_portaits/亡灵_骷髅法师_00001_.png,亡灵,死亡领域,magical,5,2,2,12,2,8,亡灵
